,recipename,labels,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob,Carb_std,Protein_std,VitA_std,VitC_std,Calcium_std,Iron_std,Thiamin_std,Niacin_std,VitB6_std,Magnesium_std,Folate_std,Potassium_std,Dietary Fiber_std,Total Fat_std,Saturated Fat_std,Cholesterol_std,Sodium_std,Sugars_std,Carb_BNI,Protein_BNI,VitA_BNI,VitC_BNI,Calcium_BNI,Iron_BNI,Thiamin_BNI,Niacin_BNI,VitB6_BNI,Magnesium_BNI,Folate_BNI,Potassium_BNI,Dietary Fiber_BNI,Total Fat_BNI,Saturated Fat_BNI,Cholesterol_BNI,Sodium_BNI,Sugars_BNI,BNI
0,1 dish chicken parmesan,4,16.50000001,5.0,65.00000010000001,742.0000008000001,461.00000100000005,37.59999990000001,3.1,53.6,9.000000009,902.4,1.99999998,240.5,4.500000009,0.0,17.0,1.25,48.0,142.0,412,-2.303606897,4.093570924,0.817866317,209.90291206310684,299.2233009708738,5037.669902912621,11.165048432038835,1342.5970873786407,25.12135927354369,0.0,94.90291262135923,6.978155339805825,267.9611650485437,792.7184466019418,2573.5436949029126,17.305825242718445,92.11165054126214,27.9126213592233,362.8640782281554,4142.233014174758,50.24271849684467,3.4983818677184475,10.0,3.1485436893203884,0.930420702669903,5.0,4.652103569174757,0.0,5.0,5.0,3.3495145631067964,4.954490291262136,3.6764909927184464,3.461165048543689,0.0,0.0,0.0,0.0,0.0,52.67111072451457
1,1 dish pepperoni cheese pizza bake,4,15.000000015,6.0,33.9999999,691.9999992,97.000001,32.1999999,1.3,30.599999999999998,2.9999999925,443.2,1.99999998,403.0,2.9999999969999998,0.0,6.0,0.0,19.0,142.0,329,-3.592733652,4.548874457,0.811078065,225.10638227963528,213.9209726443769,3098.358662613982,13.9817627781155,2817.325227963526,20.972644355927052,0.0,41.94528875379939,0.0,132.82674772036475,992.7051671732523,678.1155085106383,9.088145896656536,104.86322198936169,41.94528875379939,237.68996890577506,4837.689964012158,20.97264432446808,3.7517730379939214,10.0,1.9364741641337386,1.1651468981762918,5.0,3.88382302887538,0.0,5.0,0.0,1.6603343465045595,5.0,0.9687364407294832,1.8176291793313073,0.0,0.0,1.0385005182370823,0.0,1.6710088373860188,41.8549259331307
2,1 pea salad most requested,3,26.79999998,3.0,8.000000100000001,283.0000008,280.0,17.400000000000002,6.0,17.6,5.999999985,3049.6,16.999999980000002,89.7,2.9999999969999998,0.0,3.0,0.0,73.0,112.00000000000001,333,-1.992816156,4.149360637,0.987261063,120.1801801801802,121.56156156156158,21063.303303303303,117.41741727927929,619.5495495495496,20.7207207,0.0,20.72072072072072,0.0,504.2042042042042,773.5735735735736,1933.933933933934,41.44144144144144,185.10510496696696,20.72072072072072,55.255255945945954,1954.6546601801804,41.44144133783783,2.0030030030030033,10.0,5.0,5.0,2.382882882882883,3.8371705,0.0,5.0,0.0,5.0,4.834834834834835,2.7627627627627627,5.0,0.0,0.0,4.079079067567568,0.927802791291291,0.0,51.74845677477477
3,15 minute herbed chicken,6,8.99999997,2.0,72.9999999,568.9999992,248.0000005,6.999999900000001,1.2,53.400000000000006,1.9999999845,118.4,0.0,62.4,1.5000000119999999,0.0,16.0,0.0,26.0,10.0,225,0.738757843,4.338405309,0.947147168,71.55555453333334,545.8666666666668,1210.3111111111111,0.0,637.8666666666667,15.333333455999998,0.0,163.55555555555554,0.0,265.77777777777777,102.22222222222223,2535.1111162222223,12.266666666666666,91.99999969333332,20.444444444444443,746.2222212000001,5816.444436266667,20.444444286,1.1925925755555555,10.0,0.7564444444444445,0.0,2.4533333333333336,2.839506195555555,0.0,5.0,0.0,3.322222222222222,0.638888888888889,3.621587308888889,2.453333333333333,0.0,0.0,0.0,0.0,1.7548501133333332,34.03275841555555
4,2 step creamy chicken and pasta,7,11.59999997,3.0,80.00000010000001,624.0,142.0000015,30.5000001,4.3,57.8,4.0000000005,22.4,0.0,14.299999999999999,1.5000000119999999,0.0,11.0,0.0,19.0,4.0,340,-0.303774097,4.113392847,0.756918724,206.3235300882353,390.99999999999994,151.52941176470586,0.0,96.73529411764704,10.147058904705881,0.0,74.41176470588236,0.0,128.52941176470588,27.058823529411764,960.5882454411765,29.088235294117645,78.47058803235295,20.294117647058822,541.1764712647059,4221.176470588235,27.05882353279412,3.438725501470588,10.0,0.09470588235294117,0.0,0.3720588235294117,1.879084982352941,0.0,5.0,0.0,1.6066176470588236,0.1691176470588235,1.3722689220588236,5.0,0.0,0.0,0.0,0.0,0.7049486455882352,29.637528051470582
5,2 step skillet chicken broccoli divan,2,15.6,7.0,90.0,726.0,420.999999,12.3,3.0,60.8,2.9999999925,1171.2,61.999999980000005,235.29999999999998,1.5000000119999999,0.0,12.0,0.0,40.0,100.0,310,-1.801175399,4.25451789,0.755933075,91.25806451612904,451.09677419354836,8689.548387096775,459.999999851613,1745.7741935483868,11.129032347096773,0.0,89.03225806451613,0.0,296.7741935483871,741.9354838709677,3123.5483796774192,22.258064516129032,115.74193548387098,51.93548387096774,667.741935483871,5386.451612903225,22.25806446048387,1.520967741935484,10.0,5.0,5.0,5.0,2.0609319161290323,0.0,5.0,0.0,3.709677419354838,4.637096774193548,4.462211970967742,4.451612903225806,0.0,0.0,0.0,0.0,1.4669738951612907,52.30947262096774
6,25 minute tunisian vegetable couscous,4,4.899999975,1.0,0.0,699.0,486.99999949999994,72.0999999,8.8,27.200000000000003,5.000000008500001,3272.0,52.99999998,109.2,4.500000009,0.0,6.0,1.25,68.0,172.0,387,-1.854045753,4.324902161,0.999999997,428.5012913953488,161.65374677002586,19445.994832041342,314.98707998449606,648.9922480620155,26.7441861,0.0,35.65891472868217,7.4289405684754515,404.13436692506457,1022.2222222222222,2894.3152425064595,52.299741602067186,29.12144687984496,5.943152454780362,0.0,4154.263565891473,29.71576232441861,10.0,10.0,5.0,5.0,2.496124031007752,4.952627055555555,0.0,5.0,5.0,5.0,5.0,4.1347360607235135,5.0,2.7598887015503877,3.5142118863049094,5.0,0.0,0.28321232945736363,73.14080006459949
7,3 cheese eggplant lasagna,4,15.999999990000001,6.0,80.00000010000001,2475.0,787.0000005,20.7999999,4.5,34.6,5.999999985,10364.800000000001,18.0,557.7,4.500000009,0.0,5.0,0.0,65.0,136.0,285,-7.646672228,4.349537281,0.583931739,167.85964831578946,279.22807017543863,83645.75438596492,145.26315789473685,4500.736842105263,36.31578954631579,0.0,40.35087719298245,0.0,524.561403508772,1097.5438596491229,6351.228074210527,36.31578947368421,129.12280693684212,48.421052631578945,645.6140358947368,19973.684210526317,48.421052510526316,2.7976608052631575,10.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,57.797660805263156
8,3 ingredient pulled pork barbeque,9,16.399999979999997,6.0,105.9999999,922.0000008000001,529.9999985,23.9000001,0.5,64.4,16.000000002,244.79999999999998,1.0000000199999999,54.6,2.9999999969999998,1.1333333339,12.0,1.25,32.0,6.0,382,-2.593219361,4.218459291,0.8891934020000001,143.90052416230367,387.74869109947645,1473.9267015706805,6.020942528795811,328.74345549738223,18.06282720706806,6.823734732905759,72.25130890052355,7.526178010471204,192.67015706806285,36.12565445026178,3191.0994674083763,3.010471204188482,98.74345537696333,36.12565445026178,638.2198946858639,5551.308905340315,96.33507854607329,2.398342069371728,10.0,0.9212041884816753,0.5017452107329843,1.2643979057591626,3.3449680013089003,5.0,5.0,5.0,2.4083769633507854,0.2257853403141361,4.558713524869109,0.6020942408376964,0.0,0.0,0.0,0.0,0.0,41.22562744502617
9,30 minute irish skillet,4,19.300000004999998,6.0,51.9999999,714.0,336.0,24.599999999999998,4.1,33.6,4.0000000005,99.2,22.99999998,46.800000000000004,2.9999999969999998,0.0,6.0,0.0,22.0,68.0,342,-3.420729312,4.383193222,0.8476670000000001,165.43859649122805,225.96491228070175,667.1345029239766,154.6783624385965,314.7368421052632,20.175438576315788,0.0,40.35087719298245,0.0,147.953216374269,457.3099415204678,2259.649122807017,27.573099415204677,129.79532167105262,40.35087719298245,349.7076016666666,4801.754385964912,26.90058479868421,2.7573099415204676,10.0,0.41695906432748536,5.0,1.2105263157894737,3.736192328947368,0.0,5.0,0.0,1.8494152046783627,2.8581871345029235,3.228070175438596,5.0,0.0,0.0,0.0,0.0,0.7300659049707602,41.78672607017543
10,5 cup salad,3,8.70000001,6.0,12.9999999,51.00000000000001,156.0000015,19.2,1.4000000000000001,3.0,13.999999986,742.4,13.99999998,54.6,0.0,0.0,1.0,0.0,16.0,14.000000000000002,157,-3.126704797,4.53731767,0.999712387,281.2738853503185,43.94904458598726,10875.92356687898,205.09554110828026,799.8726114649683,0.0,0.0,14.649681528662422,0.0,234.39490445859875,205.0955414012739,2285.3503404458597,20.509554140127392,127.45222944585987,87.89808917197452,190.44585840764333,747.1337579617835,205.09554119617837,4.687898089171975,6.592356687898088,5.0,5.0,3.0764331210191087,0.0,0.0,3.6624203821656054,0.0,2.9299363057324843,1.2818471337579618,3.2647862006369426,4.101910828025479,0.0,0.0,1.8259023598726112,3.4434713375796178,0.0,43.04106008598726
11,a 20 minute chicken parmesan,4,15.799999995,7.0,135.0,928.9999991999999,581.0,26.099999999999998,3.7000000000000006,65.2,10.999999993500001,1886.4,7.99999998,258.7,4.500000009,0.0,18.0,1.25,56.00000000000001,96.0,383,-2.819446637,4.22172726,0.849434638,156.73629242819842,391.54046997389037,11328.250652741515,48.04177533681462,1553.55091383812,27.023498748563966,0.0,108.09399477806788,7.506527415143602,336.2924281984334,576.5013054830287,3489.0339425587467,22.219321148825067,94.88250649738903,42.03655352480418,810.7049608355092,5578.851170130548,66.05744121422977,2.6122715404699735,10.0,5.0,4.003481278067885,5.0,5.0,0.0,5.0,5.0,4.203655352480418,3.6031331592689293,4.984334203655353,4.443864229765014,0.0,0.0,0.0,0.0,0.0,58.850739763707566
12,a fragrant spicy rice,5,9.800000015,2.0,8.000000100000001,504.0,545.000001,48.500000099999994,9.4,25.6,5.000000008500001,3628.8,31.99999998,110.50000000000001,5.9999999939999995,0.0,5.0,0.0,83.0,340.0,331,-1.439454935,4.2357968810000015,0.999324266,337.00906413897275,177.88519637462235,25215.22658610272,222.35649532930512,767.8247734138974,41.691842858610265,0.0,34.74320241691843,0.0,576.7371601208459,2362.5377643504535,3787.009070392749,65.31722054380666,68.09667684138972,13.897280966767372,55.589124561933545,3502.1148036253776,34.74320247598188,10.0,10.0,5.0,5.0,2.953172205438067,5.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,1.525679758308157,4.073514590634441,0.0,0.0,64.47885196374622
13,a good easy garlic chicken,4,10.099999975,6.0,90.99999989999999,367.99999920000005,329.0,1.7000000999999998,0.2,55.2,1.000000008,563.2,1.99999998,29.9,1.5000000119999999,0.0,19.0,1.25,35.0,12.0,214,-0.336365519,4.289473519,0.99910182,18.27102911214953,593.2710280373833,6053.084112149533,21.495326887850464,321.35514018691583,16.121495456074765,0.0,204.2056074766355,13.434579439252335,376.1682242990654,128.97196261682242,3535.9813084112147,2.149532710280374,108.55140160046729,64.48598130841121,978.0373821028036,3955.1401783177575,10.747663637383178,0.30451715186915884,10.0,3.7831775700934585,1.7912772406542052,1.2359813084112148,2.9854621214953267,0.0,5.0,5.0,4.702102803738317,0.8060747663551402,5.0,0.4299065420560748,0.0,0.0,0.0,0.0,3.294021644859813,44.33252114953271
14,a jerky chicken,6,2.7000000300000004,1.0,68.0000001,982.0000008,385.0,13.5,0.3,56.99999999999999,9.9999999855,96.0,4.00000002,41.6,1.5000000119999999,0.0,19.0,1.25,43.0,16.0,197,0.25128944,4.477107038,0.79697455,157.61421319796955,665.4822335025381,1120.8121827411169,46.700507847715734,485.6852791878173,17.51269049543147,0.0,221.82741116751268,14.593908629441625,502.0304568527919,186.80203045685278,4494.923857868021,3.50253807106599,31.52284298984772,11.675126903553299,793.908630609137,11464.974628629441,116.75126886624365,2.626903553299492,10.0,0.7005076142131981,3.891708987309644,1.8680203045685282,3.2430908324873093,0.0,5.0,5.0,5.0,1.16751269035533,5.0,0.7005076142131981,2.5751659238578677,2.0812182741116754,0.0,0.0,0.0,48.85463579441625
15,a nice slow cooked pork,9,19.100000010000002,7.0,84.00000000000001,630.0,786.0000014999999,34.299999899999996,3.0,53.400000000000006,5.999999985,1115.2,19.00000002,101.4,4.500000009,1.1333333339,11.0,0.0,40.0,48.0,431,-2.929335239,4.272659786,0.846903251,183.0394426218097,284.9651972157773,5951.183294663573,101.39211147563806,541.1136890951276,24.013921161716937,6.047950505730858,58.70069605568445,0.0,213.4570765661253,256.14849187935033,4194.431562529002,16.009280742459396,101.9257541136891,37.35498839907192,448.25986078886314,3361.948955916473,32.018561404872386,3.050657377030162,10.0,3.719489559164733,5.0,2.0812064965197217,4.447022437354988,5.0,5.0,0.0,2.6682134570765665,1.6009280742459395,5.0,3.201856148491879,0.0,0.0,0.0,0.0,0.0,50.769373549883994
16,a pad thai worth making,4,27.800000020000002,5.0,279.9999999,1591.0000008000002,756.999999,83.10000000000001,5.5,82.8,10.999999993500001,2641.6,39.0,165.1,7.5000000060000005,0.0,19.0,1.25,118.0,268.0,742,-5.403636443,4.517766786,0.99999138,257.58760107816715,256.6576819407008,8188.247978436658,120.88948787061994,511.7654986522911,23.247978455256067,0.0,58.89487870619946,3.8746630727762805,365.7681940700809,830.7277628032346,2346.495953773585,17.048517520215633,86.17250680053908,15.498652291105122,867.9245279919136,4931.671161509435,34.09703502028302,4.293126684636119,10.0,5.0,5.0,1.9683288409703503,4.3051811954177905,0.0,5.0,5.0,4.572102425876011,5.0,3.3521370768194068,3.4097035040431267,0.0,1.1253369272237195,0.0,0.0,0.0,58.02591665498653
17,a plus fair corn dogs,4,19.699999995,7.0,35.0000001,724.0000008,111.000001,13.5999999,0.4,13.8,5.000000008500001,41.6,0.0,61.1,1.5000000119999999,0.0,3.0,0.0,11.0,52.0,261,-4.946264609,4.454127662,0.967511601,119.8467424137931,121.60919540229885,366.59003831417624,0.0,538.4291187739464,13.218390910344826,0.0,26.436781609195403,0.0,96.93486590038314,458.2375478927203,978.1609283524904,3.524904214559387,173.6015325229885,61.685823754789276,308.4291196551724,6380.076635402298,44.06130275689656,1.9974457068965514,10.0,0.22911877394636015,0.0,2.07088122605364,2.4478501685823755,0.0,5.0,0.0,1.2116858237547894,2.863984674329502,1.397372754789272,0.7049808429118775,0.0,0.0,0.0,0.0,0.0,27.923319971264366
18,a potato salad sandwich,3,23.50000003,4.0,38.000000099999994,637.0000008,213.0000005,36.0,3.9,14.000000000000002,8.000000001,1052.8,9.0,94.89999999999999,2.9999999969999998,0.0,3.0,0.0,17.0,132.0,378,-4.206001575,4.2218014660000005,0.577701572,219.04761904761904,85.18518518518519,6405.925925925926,54.76190476190476,577.4338624338624,18.253968235714286,0.0,18.253968253968253,0.0,103.43915343915343,803.1746031746031,1296.0317490740742,23.73015873015873,142.98941817195765,24.33862433862434,231.21693182539678,3875.925930793651,48.67724868333334,3.6507936507936507,12.777777777777779,4.003703703703704,4.563492063492063,2.2208994708994707,3.380364488095238,0.0,4.563492063492063,0.0,1.2929894179894177,5.0,1.8514739272486773,4.746031746031746,0.0,0.0,1.1463844695767202,0.0,0.0,48.05101830952381
19,a slow cooker thanksgiving,0,15.299999974999999,3.0,45.999999900000006,1189.0000008,377.000001,44.099999999999994,1.9,47.599999999999994,18.999999994499998,160.0,3.0,102.7,4.500000009,0.0,16.0,1.25,39.0,118.0,410,-3.3366811000000003,4.470739947,0.7759522759999999,247.39024390243898,267.0243902439024,897.5609756097562,16.82926829268293,576.1219512195122,25.243902489512195,0.0,89.7560975609756,7.01219512195122,218.78048780487805,661.951219512195,2114.878054390244,10.658536585365853,85.82926815243901,16.82926829268293,258.0487799268293,6670.000004487805,106.58536582280487,4.123170731707316,10.0,0.5609756097560976,1.402439024390244,2.2158536585365853,4.674796757317073,0.0,5.0,5.0,2.7347560975609757,4.137195121951219,3.0212543634146343,2.131707317073171,0.0,0.7926829268292677,0.6991870012195117,0.0,0.0,45.794831608536576
20,a southern fried chicken,4,30.29999999,8.0,183.0,1323.0,826.0,79.2999999,2.6,101.8,20.0000000025,780.8000000000001,4.00000002,338.0,8.999999991000001,1.1333333339,25.0,1.25,77.0,290.0,806,-4.842268155,4.3903134160000015,0.999950935,226.29032229528536,290.49627791563273,2228.089330024814,11.41439211662531,964.516129032258,25.682382108312655,3.2340777518238215,71.33995037220843,3.566997518610422,219.727047146402,827.5434243176179,2357.071960297767,7.419354838709677,86.46401982258065,22.8287841191067,522.2084367245658,3775.3101736972703,57.07196030490074,3.771505371588089,10.0,1.3925558312655086,0.9511993430521092,3.709677419354839,4.755996686724566,5.0,5.0,5.0,2.7465880893300247,5.0,3.3672456575682386,1.4838709677419355,0.0,0.0,0.0,0.0,0.0,52.17863936662532
21,absolutely fabulous portobello mushroom tortellini,4,25.400000015,12.0,54.9999999,933.0,301.999999,42.2000001,2.7,36.6,4.0000000005,1025.6000000000001,1.99999998,282.1,2.9999999969999998,0.0,3.0,0.0,11.0,30.0,470,-7.268895016,4.363957374,0.982822991,206.51063878723403,179.1063829787234,5018.893617021277,9.78723394468085,1380.4893617021278,14.680851049148934,0.0,14.680851063829786,0.0,53.82978723404255,146.80851063829786,1477.8723355319148,13.212765957446809,124.29787241382978,58.723404255319146,269.1489356808511,4565.744680851064,19.574468087553193,3.4418439797872336,10.0,3.136808510638298,0.8156028287234042,5.0,2.718676120212766,0.0,3.670212765957447,0.0,0.6728723404255319,0.9175531914893615,2.1112461936170215,2.6425531914893616,0.0,0.0,0.5141844053191487,0.0,1.8929415734042552,37.02031069574468
22,acapulco chicken,6,13.900000010000001,3.0,72.0,634.9999992,742.0,23.799999899999996,4.9,60.199999999999996,5.999999985,3630.3999999999996,85.99999998000001,83.2,4.500000009,0.0,19.0,1.25,59.0,84.0,333,-0.066618977,4.2074890589999985,0.8763181840000001,164.38438369369365,415.7957957957958,25074.83483483483,593.9939938558559,574.6546546546547,31.081081143243242,0.0,131.23123123123122,8.633633633633634,407.5075075075075,580.1801801801802,5124.924924924925,33.84384384384385,96.00600607507509,20.72072072072072,497.29729729729735,4385.885880360361,41.44144133783783,2.7397397282282276,10.0,5.0,5.0,2.21021021021021,5.0,0.0,5.0,5.0,5.0,3.626126126126126,5.0,5.0,0.0,0.0,0.0,0.0,0.0,58.57607606456456
