recipename,labels,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob
1 dish chicken parmesan,4,0.253846154,0.25,0.21666666699999998,0.309166667,0.13171428599999999,0.12533333300000002,0.124,0.536,0.28571428600000004,0.1128,0.033333333,0.185,0.166666667,0.0,0.85,0.5,0.12,0.1775,412,-2.303606897,4.093570924,0.817866317
1 dish pepperoni cheese pizza bake,4,0.23076923100000002,0.3,0.11333333300000001,0.288333333,0.027714286,0.107333333,0.052000000000000005,0.306,0.095238095,0.0554,0.033333333,0.31,0.111111111,0.0,0.3,0.0,0.0475,0.1775,329,-3.5927336519999997,4.548874457,0.811078065
1 pea salad most requested,3,0.412307692,0.15,0.026666667,0.11791666699999999,0.08,0.057999999999999996,0.24,0.17600000000000002,0.19047619,0.3812,0.283333333,0.069,0.111111111,0.0,0.15,0.0,0.1825,0.14,333,-1.992816156,4.149360637,0.9872610629999999
15 minute herbed chicken,6,0.138461538,0.1,0.243333333,0.237083333,0.070857143,0.023333332999999998,0.048,0.534,0.063492063,0.0148,0.0,0.048,0.055555556,0.0,0.8,0.0,0.065,0.0125,225,0.738757843,4.338405309,0.947147168
2 step creamy chicken and pasta,7,0.178461538,0.15,0.26666666699999997,0.26,0.040571429,0.10166666699999999,0.172,0.578,0.126984127,0.0028,0.0,0.011000000000000001,0.055555556,0.0,0.55,0.0,0.0475,0.005,340,-0.30377409699999997,4.113392847,0.756918724
2 step skillet chicken broccoli divan,2,0.24,0.35,0.3,0.3025,0.120285714,0.040999999999999995,0.12,0.608,0.095238095,0.1464,1.033333333,0.18100000000000002,0.055555556,0.0,0.6,0.0,0.1,0.125,310,-1.8011753990000001,4.25451789,0.755933075
25 minute tunisian vegetable couscous,4,0.075384615,0.05,0.0,0.29125,0.13914285699999998,0.240333333,0.35200000000000004,0.272,0.158730159,0.409,0.8833333329999999,0.084,0.166666667,0.0,0.3,0.5,0.17,0.215,387,-1.854045753,4.324902161,0.9999999970000001
3 cheese eggplant lasagna,4,0.246153846,0.3,0.26666666699999997,1.03125,0.224857143,0.069333333,0.18,0.34600000000000003,0.19047619,1.2956,0.3,0.429,0.166666667,0.0,0.25,0.0,0.1625,0.17,285,-7.646672228,4.349537281,0.583931739
3 ingredient pulled pork barbeque,9,0.252307692,0.3,0.35333333299999997,0.384166667,0.15142857099999998,0.079666667,0.02,0.644,0.507936508,0.0306,0.016666667,0.042,0.111111111,0.666666667,0.6,0.5,0.08,0.0075,382,-2.593219361,4.218459291,0.8891934020000001
30 minute irish skillet,4,0.296923077,0.3,0.173333333,0.2975,0.096,0.08199999999999999,0.16399999999999998,0.336,0.126984127,0.0124,0.38333333299999994,0.036000000000000004,0.111111111,0.0,0.3,0.0,0.055,0.085,342,-3.4207293119999997,4.383193222,0.8476670000000001
5 cup salad,3,0.133846154,0.3,0.043333332999999995,0.02125,0.044571429,0.064,0.055999999999999994,0.03,0.444444444,0.0928,0.233333333,0.042,0.0,0.0,0.05,0.0,0.04,0.0175,157,-3.126704797,4.53731767,0.999712387
a 20 minute chicken parmesan,4,0.243076923,0.35,0.45,0.387083333,0.166,0.087,0.14800000000000002,0.652,0.34920634899999997,0.2358,0.133333333,0.19899999999999998,0.166666667,0.0,0.9,0.5,0.14,0.12,383,-2.819446637,4.22172726,0.849434638
a fragrant spicy rice,5,0.150769231,0.1,0.026666667,0.21,0.155714286,0.161666667,0.376,0.256,0.158730159,0.4536,0.533333333,0.085,0.222222222,0.0,0.25,0.0,0.2075,0.425,331,-1.439454935,4.235796881000001,0.9993242659999999
