,recipename,labels,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrates,Sugars,Protein,Dietary Fiber,Vitamin A,Vitamin C,Calcium,Potassium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Carb_std,Protein_std,VitA_std,VitC_std,Calcium_std,Iron_std,Thiamin_std,Niacin_std,VitB6_std,Magnesium_std,Folate_std,Potassium_std,Dietary Fiber_std,Total Fat_std,Saturated Fat_std,Cholesterol_std,Sodium_std,Sugars_std,Carb_BI,Protein_BI,VitA_BI,VitC_BI,Calcium_BI,Iron_BI,Thiamin_BI,Niacin_BI,VitB6_BI,Magnesium_BI,Folate_BI,Potassium_BI,Dietary Fiber_BI,Total Fat_BI,Saturated Fat_BI,Cholesterol_BI,Sodium_BI,Sugars_BI,BI_combine
0,1 dish chicken parmesan,4,41.799999995,14.0,96.00000000000001,748.0000008000002,43.50000000000001,10.000000017,28.7,4.1,928.0,9.0,204.0,776.0000010000001,3.000000006,0.0,20.0,1.0,57.0,86.0,726,137.8099173553719,90.9228650137741,2939.944903581267,28.51239669421488,646.2809917355372,9.504132250413223,0.0,63.36088154269973,3.1680440771349865,180.5785123966942,272.4517906336088,2458.4022070247934,12.988980716253442,132.42424240840222,44.35261707988981,304.13223140495876,2369.696972231405,31.68044082520661,2.296831955922865,13.638429752066115,1.837465564738292,2.37603305785124,2.4856961220597587,1.7600244908172635,0.0,5.0,5.0,2.2572314049586777,1.702823691460055,3.512003152892562,2.5977961432506884,0,0,0.0,0.06313130785123917,0.0,44.527466643868756
1,1 dish pepperoni cheese pizza bake,4,40.3,15.0,64.9999998,697.9999992,38.1,4.0000000005,17.2,2.3,641.0,9.0,329.0,412.000001,1.999999998,0.0,9.0,0.0,28.0,86.0,643,136.28304821150857,61.524105754276825,2292.846034214619,32.19284603421462,1176.827371695179,7.153965778227061,0.0,32.19284603421462,0.0,100.15552099533437,307.62052877138416,1473.7169553654744,8.227060653188179,144.1524105754277,53.6547433903577,232.5038873094868,2496.734056236392,14.307931572550546,2.271384136858476,9.228615863141524,1.433028771384137,2.6827371695178845,4.526259121904534,1.3248084774494555,0.0,5.0,0.0,1.2519440124416796,1.922628304821151,2.105309936236392,1.6454121306376357,0,0,1.1249352115085534,0.0,2.7288997503888024,36.12102767478167
2,1 pea salad most requested,3,52.099999964999995,12.0,39.0,289.0000008,23.300000100000002,6.999999992999999,10.700000000000001,7.0,2270.0,24.0,88.0,595.0,1.999999998,0.0,6.0,0.0,82.0,71.0,647,82.82843930448223,38.03709428129831,8069.5517774343125,85.31684698608964,312.82843894899537,7.109737241731066,0.0,21.32921174652241,0.0,291.499227202473,252.39567233384855,2115.146831530139,24.88408037094281,185.20865520788252,42.65842349304482,138.63987635239567,1027.357035301391,24.88408034605873,1.3804739884080373,5.7055641421947465,5.0,5.0,1.2031863036499821,1.3166180077279752,0.0,5.0,0.0,3.643740340030912,1.5774729520865536,3.0216383307573413,4.976816074188562,0,0,2.689335394126739,2.8596728431221017,1.0501459768160744,41.73532895898229
3,15 minute herbed chicken,6,34.299999955,11.0,103.99999980000001,574.9999992,12.900000000000002,2.9999999925,28.600000000000005,2.2,438.0,7.00000002,67.0,563.0000004999999,1.000000008,0.0,19.0,0.0,35.0,20.0,539,55.046382189239345,122.04081632653065,1869.0166975881261,29.8701299554731,285.899814471243,4.267161444155844,0.0,81.0760667903525,0.0,149.35064935064935,85.34322820037106,2402.4118759740254,9.387755102040817,146.36363617161408,46.93877551020408,443.7847857884973,2453.6178073469387,12.801484198051948,0.9174397031539892,15.0,1.1681354359925789,2.489177496289425,1.0996146710432424,0.7902150822510823,0.0,5.0,0.0,1.8668831168831168,0.5333951762523191,3.432016965677179,1.8775510204081634,0,0,0.0,0.0,2.9680183812615955,37.142447049212684
4,2 step creamy chicken and pasta,7,36.899999955,12.0,111.00000000000003,630.0,36.400000199999994,5.0000000085,30.799999999999997,5.3,378.0,7.00000002,30.0,457.0000015,1.000000008,0.0,14.0,0.0,28.0,17.0,654,128.01223311926603,108.31804281345565,1329.3577981651376,24.617737073394494,105.5045871559633,3.5168196,0.0,49.235474006116206,0.0,98.47094801223241,59.785932721712534,1607.186549617737,18.63914373088685,129.770642043578,42.201834862385326,390.3669724770643,2215.5963302752293,17.584097889220182,2.1335372186544337,15.0,0.830848623853211,2.0514780894495415,0.40578687367678196,0.6512628888888888,0.0,5.0,0.0,1.2308868501529053,0.3736620795107033,2.2959807851681955,3.7278287461773703,0,0,0.0,0.38417431192660556,2.2088733509174316,36.294319818376074
5,2 step skillet chicken broccoli divan,2,40.899999985,16.0,120.9999999,732.0,18.2000001,4.0000000005,32.3,4.0,1096.0,69.00000000000001,200.0,735.999999,1.000000008,0.0,15.0,0.0,49.0,65.0,624,67.08333370192308,119.05448717948717,4039.74358974359,254.32692307692312,737.1794871794873,3.6858974653846155,0.0,55.28846153846154,0.0,180.60897435897436,239.58333333333334,2712.8205091346153,14.743589743589743,150.75320507291667,58.97435897435897,445.993589375,2698.0769230769233,14.743589745432693,1.118055561698718,15.0,2.5248397435897436,5.0,2.835305719921105,0.6825736047008547,0.0,5.0,0.0,2.2576121794871797,1.4973958333333335,3.8754578701923075,2.948717948717949,0,0,0.0,0.0,2.6597476594551277,45.39970612109632
6,25 minute tunisian vegetable couscous,4,30.19999996,10.0,30.999999900000002,705.0,78.0,6.0000000165000005,15.5,9.8,2409.0,60.0,103.0,801.9999995000001,3.000000006,0.0,9.0,1.0,77.0,101.0,701,255.9201141226819,50.85592011412268,7903.994293865906,196.86162624821682,337.9457917261056,9.843081332097004,0.0,29.529243937232525,3.2810271041369474,252.63908701854493,331.38373751783166,2631.3837358773185,32.154065620542085,99.08701841369472,32.810271041369475,101.71183990014266,2313.1241084165476,19.68616267895863,4.265335235378032,7.628388017118402,4.939996433666191,5.0,1.2997915066388677,1.822792839277223,0.0,5.0,5.0,3.1579885877318112,2.071148359486448,3.7591196226818835,5.0,0,0,3.3048026683309555,0.1809914407988591,1.8752122731811696,51.00076431595889
7,3 cheese eggplant lasagna,4,41.299999975,15.0,111.00000000000003,2481.0,26.7,6.999999992999999,19.2,5.5,6842.0,25.00000002,448.0,1102.0000005,3.000000006,0.0,8.0,0.0,74.0,83.0,599,102.52086811352252,73.72287145242069,26271.452420701167,95.99332228046745,1720.2003338898164,11.519198687479133,0.0,30.717863105175294,0.0,284.14023372287147,318.69782971619367,4231.385644657763,21.118530884808013,158.5809681844741,57.595993322203675,426.21035058430726,9526.377295492488,26.878130190150248,1.7086811352253752,11.058430717863104,5.0,5.0,5.0,2.1331849421257654,0.0,5.0,0.0,3.5517529215358934,1.9918614357262103,5.0,4.223706176961603,0,0,0.0,0.0,0.7336301285475797,50.40124745798553
8,3 ingredient pulled pork barbeque,9,41.699999964999996,15.0,136.9999998,928.0000008,29.800000200000003,17.00000001,34.1,1.5,517.0,8.00000004,61.0,844.9999985000001,1.999999998,1.0000000005,15.0,1.0,41.0,18.0,696,98.47701215517242,112.68678160919542,1708.4770114942528,26.43678174137931,201.58045977011494,6.609195395689656,3.304597702801724,49.56896551724138,3.3045977011494254,135.48850574712642,59.48275862068965,2792.385052514368,4.956896551724138,137.8017240222701,49.56896551724138,452.72988439655177,3066.6666693103443,56.17816095258621,1.6412835359195401,15.0,1.0677981321839078,2.2030651451149423,0.7753094606542882,1.2239250732758622,5.0,5.0,5.0,1.6936063218390804,0.3717672413793103,3.9891215035919543,0.9913793103448276,0,0,0.0,0.0,0.0,43.9572557243037
9,30 minute irish skillet,4,44.59999999,15.0,82.9999998,720.0,30.5000001,5.0000000085,18.7,5.1,426.0,30.0,55.00000000000001,651.0,1.999999998,0.0,9.0,0.0,31.0,49.0,656,106.93597596036585,65.5640243902439,1493.59756097561,105.1829268292683,192.83536585365854,7.012195114939025,0.0,31.554878048780488,0.0,108.6890243902439,171.79878048780486,2282.469512195122,17.881097560975608,156.37195118445123,52.59146341463415,291.00609685975604,2524.390243902439,17.530487834679878,1.7822662660060975,9.834603658536585,0.9334984756097562,5.0,0.7416744840525329,1.2985546509146342,0.0,5.0,0.0,1.3586128048780488,1.0737423780487805,3.2606707317073176,3.576219512195122,0,0,0.14989838567073263,0.0,2.2173828833841465,36.07722584533302
10,5 cup salad,3,33.999999994999996,15.0,43.999999800000005,57.00000000000001,25.1000001,14.999999994,3.4,2.4,828.0,21.0,61.0,471.0000015,0.0,0.0,4.0,0.0,25.0,22.0,471,122.56900261146497,16.602972399150744,4043.312101910828,102.54777070063693,297.8768577494692,0.0,0.0,19.532908704883226,0.0,122.08067940552017,107.43099787685775,2300.0000073248407,11.719745222929935,166.0297239670913,73.2484076433121,214.8619947770701,278.343949044586,73.24840761401275,2.0428167101910826,2.4904458598726116,2.5270700636942673,5.0,1.145680222113343,0.0,0.0,4.883227176220807,0.0,1.526008492569002,0.671443736730361,3.2857142961783437,2.343949044585987,0,0,1.4189667537154984,4.4201167728237785,0.0,30.336472374979586
11,a 20 minute chicken parmesan,4,41.09999998,16.0,165.9999999,934.9999992,32.0000001,12.0000000015,34.5,4.700000000000001,1543.0,15.0,218.0,896.0,3.000000006,0.0,21.0,1.0,65.0,63.0,697,105.59540922525107,113.84505021520803,5091.67862266858,49.49784791965567,719.3687230989956,9.899569603730273,0.0,69.29698708751793,3.2998565279770444,214.4906743185079,207.89096126255382,2956.6714490674317,15.509325681492113,135.6241032338594,52.79770444763271,547.7761833142038,3085.365851018652,39.59827834067432,1.759923487087518,15.0,3.1822991391678626,4.124820659971306,2.766802781149983,1.8332536303204208,0.0,5.0,5.0,2.6811334289813487,1.2993185078909613,4.223816355810617,3.101865136298423,0,0,0.0,0.0,0.0,49.973233126678444
12,a fragrant spicy rice,5,35.1,11.0,39.0,510.0,54.4000002,6.0000000165000005,14.700000000000001,10.4,2632.0,39.0,104.0,860.000001,3.999999996,0.0,8.0,0.0,92.0,185.0,645,193.9844968372093,52.418604651162795,9385.426356589147,139.06976744186045,370.85271317829455,14.263565877209302,0.0,28.527131782945737,0.0,328.06201550387595,659.6899224806202,3066.666670232558,37.08527131782946,125.16279069767442,39.224806201550386,139.06976744186045,1818.6046511627906,21.395348896046514,3.2330749472868217,7.862790697674419,5.0,5.0,1.4263565891472867,2.641401088372093,0.0,5.0,0.0,4.10077519379845,4.123062015503876,4.380952386046511,5.0,0,0,2.6821705426356592,1.2112403100775198,1.6039128736434105,50.58356610155038
