recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob
1 dish chicken parmesan,0.253846154,0.25,0.216666667,0.309166667,0.131714286,0.125333333,0.124,0.536,0.285714286,0.1128,0.033333333,0.185,0.166666667,0,0.85,0.5,0.12,0.1775,412,-2.303606897,4.093570924,0.817866317
1 dish pepperoni cheese pizza bake,0.230769231,0.3,0.113333333,0.288333333,0.027714286,0.107333333,0.052,0.306,0.095238095,0.0554,0.033333333,0.31,0.111111111,0,0.3,0,0.0475,0.1775,329,-3.592733652,4.548874457,0.811078065
1 pea salad most requested,0.412307692,0.15,0.026666667,0.117916667,0.08,0.058,0.24,0.176,0.19047619,0.3812,0.283333333,0.069,0.111111111,0,0.15,0,0.1825,0.14,333,-1.992816156,4.149360637,0.987261063
15 minute herbed chicken,0.138461538,0.1,0.243333333,0.237083333,0.070857143,0.023333333,0.048,0.534,0.063492063,0.0148,0,0.048,0.055555556,0,0.8,0,0.065,0.0125,225,0.738757843,4.338405309,0.947147168
2 step creamy chicken and pasta,0.178461538,0.15,0.266666667,0.26,0.040571429,0.101666667,0.172,0.578,0.126984127,0.0028,0,0.011,0.055555556,0,0.55,0,0.0475,0.005,340,-0.303774097,4.113392847,0.756918724
2 step skillet chicken broccoli divan,0.24,0.35,0.3,0.3025,0.120285714,0.041,0.12,0.608,0.095238095,0.1464,1.033333333,0.181,0.055555556,0,0.6,0,0.1,0.125,310,-1.801175399,4.25451789,0.755933075
25 minute tunisian vegetable couscous,0.075384615,0.05,0,0.29125,0.139142857,0.240333333,0.352,0.272,0.158730159,0.409,0.883333333,0.084,0.166666667,0,0.3,0.5,0.17,0.215,387,-1.854045753,4.324902161,0.999999997
3 cheese eggplant lasagna,0.246153846,0.3,0.266666667,1.03125,0.224857143,0.069333333,0.18,0.346,0.19047619,1.2956,0.3,0.429,0.166666667,0,0.25,0,0.1625,0.17,285,-7.646672228,4.349537281,0.583931739
3 ingredient pulled pork barbeque,0.252307692,0.3,0.353333333,0.384166667,0.151428571,0.079666667,0.02,0.644,0.507936508,0.0306,0.016666667,0.042,0.111111111,0.666666667,0.6,0.5,0.08,0.0075,382,-2.593219361,4.218459291,0.889193402
30 minute irish skillet,0.296923077,0.3,0.173333333,0.2975,0.096,0.082,0.164,0.336,0.126984127,0.0124,0.383333333,0.036,0.111111111,0,0.3,0,0.055,0.085,342,-3.420729312,4.383193222,0.847667
5 cup salad,0.133846154,0.3,0.043333333,0.02125,0.044571429,0.064,0.056,0.03,0.444444444,0.0928,0.233333333,0.042,0,0,0.05,0,0.04,0.0175,157,-3.126704797,4.53731767,0.999712387
a 20 minute chicken parmesan,0.243076923,0.35,0.45,0.387083333,0.166,0.087,0.148,0.652,0.349206349,0.2358,0.133333333,0.199,0.166666667,0,0.9,0.5,0.14,0.12,383,-2.819446637,4.22172726,0.849434638
a fragrant spicy rice,0.150769231,0.1,0.026666667,0.21,0.155714286,0.161666667,0.376,0.256,0.158730159,0.4536,0.533333333,0.085,0.222222222,0,0.25,0,0.2075,0.425,331,-1.439454935,4.235796881,0.999324266
a good easy garlic chicken,0.155384615,0.3,0.303333333,0.153333333,0.094,0.005666667,0.008,0.552,0.031746032,0.0704,0.033333333,0.023,0.055555556,0,0.95,0.5,0.0875,0.015,214,-0.336365519,4.289473519,0.99910182
a jerky chicken,0.041538462,0.05,0.226666667,0.409166667,0.11,0.045,0.012,0.57,0.317460317,0.012,0.066666667,0.032,0.055555556,0,0.95,0.5,0.1075,0.02,197,0.25128944,4.477107038,0.79697455
a nice slow cooked pork,0.293846154,0.35,0.28,0.2625,0.224571429,0.114333333,0.12,0.534,0.19047619,0.1394,0.316666667,0.078,0.166666667,0.666666667,0.55,0,0.1,0.06,431,-2.929335239,4.272659786,0.846903251
a pad thai worth making,0.427692308,0.25,0.933333333,0.662916667,0.216285714,0.277,0.22,0.828,0.349206349,0.3302,0.65,0.127,0.277777778,0,0.95,0.5,0.295,0.335,742,-5.403636443,4.517766786,0.99999138
a plus fair corn dogs,0.303076923,0.35,0.116666667,0.301666667,0.031714286,0.045333333,0.016,0.138,0.158730159,0.0052,0,0.047,0.055555556,0,0.15,0,0.0275,0.065,261,-4.946264609,4.454127662,0.967511601
a potato salad sandwich,0.361538462,0.2,0.126666667,0.265416667,0.060857143,0.12,0.156,0.14,0.253968254,0.1316,0.15,0.073,0.111111111,0,0.15,0,0.0425,0.165,378,-4.206001575,4.221801466,0.577701572
a slow cooker thanksgiving,0.235384615,0.15,0.153333333,0.495416667,0.107714286,0.147,0.076,0.476,0.603174603,0.02,0.05,0.079,0.166666667,0,0.8,0.5,0.0975,0.1475,410,-3.3366811,4.470739947,0.775952276
a southern fried chicken,0.466153846,0.4,0.61,0.55125,0.236,0.264333333,0.104,1.018,0.634920635,0.0976,0.066666667,0.26,0.333333333,0.666666667,1.25,0.5,0.1925,0.3625,806,-4.842268155,4.390313416,0.999950935
absolutely fabulous portobello mushroom tortellini,0.390769231,0.6,0.183333333,0.38875,0.086285714,0.140666667,0.108,0.366,0.126984127,0.1282,0.033333333,0.217,0.111111111,0,0.15,0,0.0275,0.0375,470,-7.268895016,4.363957374,0.982822991
acapulco chicken,0.213846154,0.15,0.24,0.264583333,0.212,0.079333333,0.196,0.602,0.19047619,0.4538,1.433333333,0.064,0.166666667,0,0.95,0.5,0.1475,0.105,333,-0.066618977,4.207489059,0.876318184
acapulco margarita grouper,0.292307692,0.15,0.206666667,0.51875,0.283714286,0.087666667,0.084,0.694,0.571428571,0.247,0.516666667,0.062,0.111111111,0,0.4,0.5,0.175,0.1025,511,-1.823703193,4.203239293,0.468731864
acorn squash with sweet spicy sausage,0.186153846,0.15,0.213333333,0.422083333,0.235714286,0.150666667,0.22,0.346,0.984126984,0.107,0.233333333,0.085,0.166666667,0,0.05,0,0.185,0.06,343,-3.710249493,4.318225869,0.948709507
acorn squash wonder tacoschalupas,0.276923077,0.2,0.183333333,0.17875,0.280857143,0.132,0.336,0.168,0.158730159,0.2654,0.466666667,0.158,0.166666667,0,0.25,0.5,0.2425,0.2325,332,-3.049412119,3.762246037,0.946281212
across the border tequila shrimp,0.2,0.4,0.966666667,0.280833333,0.086571429,0.012333333,0.028,0.566,0.031746032,0.1822,0.216666667,0.069,0.222222222,0,0.5,0,0.1225,0.025,279,-2.850304536,4.525819932,0.877676809
actually delicious turkey burgers,0.146153846,0.15,0.3,0.1475,0.083428571,0.007666667,0.008,0.418,0,0.0232,0.033333333,0.023,0.111111111,0,0.4,0,0.06,0.035,183,0.185555884,4.453058455,0.999657111
adios turkey casserole,0.333846154,0.55,0.336666667,0.43,0.136857143,0.070333333,0.112,0.702,0.095238095,0.1666,0.366666667,0.357,0.166666667,0,0.6,0.5,0.13,0.1275,421,-4.338525875,4.230039317,0.831056813
adobo chicken with ginger,0.527692308,0.5,0.566666667,0.567916667,0.150285714,0.017666667,0.02,0.884,0,0.0646,0.116666667,0.048,0.166666667,0,1.2,0.5,0.1475,0.0425,517,-4.196160615,4.344913498,0.986283184
adobo sirloin,0.289230769,0.35,0.4,0.17875,0.151714286,0.012333333,0.044,0.752,0,0.0082,0.1,0.035,0.277777778,0,0.6,0.5,0.1075,0.035,342,-0.255543083,4.295352702,0.934736847
aegean chicken salad,0.298461538,0.35,0.31,0.450833333,0.076571429,0.024,0.068,0.616,0.063492063,0.132,0.35,0.136,0.166666667,0,0.65,0.5,0.085,0.09,332,-2.78261716,4.392412282,0.496532447
afghan beef raviolis mantwo,0.24,0.3,0.253333333,0.48875,0.235428571,0.189333333,0.368,0.68,0.285714286,0.5528,0.1,0.172,0.333333333,0.666666667,0.75,0,0.195,0.3375,506,-3.165501264,4.282206423,0.774485498
african chicken stew,0.553846154,0.35,0.333333333,0.258333333,0.236,0.105,0.256,0.874,0.126984127,0.0826,0.266666667,0.072,0.222222222,0,0.75,0.5,0.2925,0.2525,615,-1.464543788,4.38151698,0.572223239
after thanksgiving casserole,0.403076923,0.65,0.296666667,0.797083333,0.214285714,0.225,0.164,0.512,0.253968254,0.2084,0.183333333,0.157,0.222222222,0,0.6,0.5,0.165,0.3025,612,-10.24368596,3.949359557,0.842035181
aimees quick chicken,0.110769231,0.15,0.27,0.747083333,0.072857143,0.029333333,0,0.648,0.095238095,0.0122,0,0.127,0.055555556,0,0.85,0,0.095,0.015,242,-2.167525269,4.360535805,0.995666898
ainaas bbq chicken,0.433846154,0.4,0.52,0.3375,0.163714286,0.028333333,0.024,1.014,0.158730159,0.0706,0.333333333,0.064,0.166666667,0,0.8,0.5,0.1225,0.0425,500,-0.970932561,3.891072099,0.828051624
al kabsa traditional saudi rice and chicken,0.326153846,0.4,0.293333333,0.17625,0.123428571,0.183,0.12,0.584,0.222222222,0.864,0.216666667,0.059,0.111111111,0,0.4,0,0.105,0.045,528,-3.288021153,4.084027166,0.937814525
alabama pulled pig,0.372307692,0.5,0.353333333,0.049583333,0.163428571,0.017333333,0.024,0.56,0.126984127,0.0946,0.033333333,0.044,0.111111111,0.666666667,0.6,0.5,0.0925,0.02,363,-2.320504348,4.410247957,0.87944671
alaska salmon bake with pecan crunch coating,0.344615385,0.3,0.303333333,0.147083333,0.117142857,0.053,0.076,0.522,0.19047619,0.0846,0.183333333,0.04,0.055555556,0,0.55,0,0.11,0.045,368,-1.594336215,4.623010367,0.721483453
alaskan bbq salmon,0.169230769,0.1,0.186666667,0.024583333,0.105714286,0.074333333,0,0.392,0.698412698,0.0088,0.05,0.026,0,0,0.55,0.5,0.07,0.0775,269,0.104775456,4.57341886,0.935551436
alfredo blue,0.46,0.85,0.313333333,0.109166667,0.057428571,0.146333333,0.088,0.258,0.063492063,0.2066,0.016666667,0.163,0.111111111,0,0.25,0,0.0925,0.305,487,-8.774611741,4.408824955,0.775172583
alfredo chicken,0.441538462,0.5,0.353333333,0.5575,0.081142857,0.090666667,0.04,0.642,0.158730159,0.009,0,0.02,0.111111111,0,0.75,0,0.0925,0.1775,498,-5.819206087,4.216454395,0.838792438
alfredo light,0.063076923,0.05,0.02,0.15,0.073714286,0.168333333,0.144,0.278,0.19047619,0.097,0.416666667,0.149,0.111111111,0,0.25,0,0.095,0.3075,292,-0.607806693,4.418334215,0.999146022
alfredo mostaccioli,0.389230769,0.75,0.253333333,0.194583333,0.051428571,0.141333333,0.088,0.206,0.063492063,0.2892,0.166666667,0.101,0.111111111,0,0.2,0,0.085,0.3125,430,-8.406719529,4.379925604,0.759915179
