recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob
hearty ranch and bacon potato soup,0.42769230799999997,0.85,0.27,0.305,0.39257142899999997,0.18566666699999998,0.252,0.42200000000000004,0.126984127,0.1616,0.916666667,0.386,0.166666667,0.0,0.4,0.5,0.2125,0.1575,552,-8.941762475,4.237298419,0.998864929
turkey soup with dressing dumplings,0.37692307700000005,0.25,0.143333333,0.360416667,0.13,0.203333333,0.204,0.31,1.015873016,1.1892,0.18333333300000001,0.087,0.166666667,0.0,0.2,0.0,0.08,0.13,512,-5.500675529,4.245014075,0.929686401
cream of mushroom soup iii,0.267692308,0.55,0.2,0.39791666700000006,0.063142857,0.032,0.048,0.06,0.063492063,0.12300000000000001,0.033333333,0.026000000000000002,0.055555556,0.0,0.15,0.0,0.0225,0.045,208,-7.442404407000001,4.264317093,0.9864615259999999
potato ham broccoli and cheese soup with baby dumplings,0.45846153799999995,0.85,0.373333333,0.49541666700000003,0.287142857,0.142666667,0.18,0.544,0.28571428600000004,0.4892,1.15,0.509,0.166666667,0.666666667,0.45,0.5,0.1775,0.2325,544,-9.406239196,4.30782686,0.865573913
the absolute best potato soup,0.05384615400000001,0.05,0.07,0.550416667,0.133428571,0.090333333,0.12,0.158,0.126984127,0.2604,0.166666667,0.023,0.055555556,0.0,0.2,0.0,0.075,0.0375,173,-3.1069310519999997,4.385856215,0.992789218
senate bean soup from idahoan,0.08769230800000001,0.05,0.0,0.270416667,0.23,0.139666667,0.38,0.242,0.222222222,1.0424,0.18333333300000001,0.154,0.27777777800000003,0.0,0.15,0.0,0.2,0.2825,263,-1.061617712,4.441178645,0.999999986
day after thanksgiving turkey carcass soup,0.1,0.1,0.04,0.24583333300000001,0.09057142900000001,0.209333333,0.17600000000000002,0.21,0.222222222,0.6116,0.18333333300000001,0.073,0.222222222,0.666666667,0.3,0.0,0.1,0.435,355,-2.542403975,4.654856258,0.996851442
chicken tortilla soup,0.06769230799999999,0.1,0.22,0.52875,0.07457142900000001,0.04,0.048,0.49200000000000005,0.095238095,0.0766,0.1,0.066,0.055555556,0.0,0.55,0.0,0.0725,0.035,195,-1.1937518409999999,4.515613639,0.890967072
chicken and bok choy soup,0.043076922999999996,0.05,0.05,0.195833333,0.23514285699999998,0.096,0.184,0.192,0.126984127,1.515,0.7333333329999999,0.08,0.111111111,0.0,0.25,0.5,0.1225,0.14,175,-0.6183057,4.56498654,0.9995972790000001
chicken and brown rice soup,0.018461538,0.0,0.046666667,0.31625,0.046857143,0.051333332999999995,0.064,0.136,0.063492063,0.1258,0.033333333,0.021,0.055555556,0.0,0.15,0.0,0.08,0.0425,101,-0.9214111709999999,4.389591795,0.9971786359999999
