recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob
cheesy potato salad,0.47230769200000006,0.6,0.163333333,0.130833333,0.222,0.155,0.14400000000000002,0.222,0.34920634899999997,0.1434,0.433333333,0.23399999999999999,0.055555556,0.0,0.25,0.5,0.13,0.095,497,-7.085741758999999,4.50432216,0.909088755
baked potato salad,0.269230769,0.45,0.16,0.255833333,0.22057142899999999,0.095333333,0.136,0.264,0.031746032,0.073,0.5,0.195,0.111111111,0.0,0.25,0.5,0.12,0.08,322,-4.838708907,4.353449788,0.9664718659999999
chicken salad wraps,0.227692308,0.15,0.203333333,0.389166667,0.088285714,0.141666667,0.12,0.544,0.031746032,0.0634,0.05,0.114,0.222222222,0.0,0.6,0.0,0.085,0.2575,464,-1.751263025,4.10722964,0.91234822
chipotle chicken salad,0.547692308,0.35,0.213333333,0.196666667,0.037714286,0.009000000000000001,0.016,0.376,0.031746032,0.0642,0.016666667,0.04,0.055555556,0.0,0.4,0.0,0.0375,0.02,404,-3.388244196,4.133365635,0.9997911740000001
moms dill potato salad,0.273846154,0.2,0.043333332999999995,0.055416667,0.162857143,0.066333333,0.084,0.06,0.031746032,0.0466,0.18333333300000001,0.042,0.055555556,0.0,0.1,0.0,0.075,0.065,245,-2.459272775,4.5051762580000005,0.9085609509999999
dennies fresh lobster salad,0.36,0.45,0.48,0.206666667,0.090857143,0.003666667,0.0,0.43200000000000005,0.0,0.0946,0.0,0.059000000000000004,0.0,0.0,0.35,0.0,0.0775,0.0275,303,-3.560506848,4.30782686,0.9971203470000001
1 pea salad most requested,0.412307692,0.15,0.026666667,0.11791666699999999,0.08,0.057999999999999996,0.24,0.17600000000000002,0.19047619,0.3812,0.283333333,0.069,0.111111111,0.0,0.15,0.0,0.1825,0.14,333,-1.992816156,4.149360637,0.9872610629999999
nutty brown rice salad,0.069230769,0.05,0.0,0.08458333300000001,0.050285714,0.130666667,0.252,0.142,0.063492063,0.0508,0.46666666700000003,0.043,0.111111111,0.0,0.1,0.0,0.1375,0.04,223,-0.461432337,4.2444864,0.9999991429999999
sunflower chicken salad,0.593846154,0.6,0.33,0.175,0.062285714000000006,0.017,0.012,0.564,0.126984127,0.1056,0.033333333,0.265,0.055555556,0.0,0.55,0.0,0.0675,0.0325,481,-4.650900695,4.308132504,0.901561005
bacon and eggs potato salad,0.412307692,0.25,0.48666666700000005,0.20125,0.213714286,0.09066666699999999,0.136,0.184,0.095238095,0.1326,0.26666666699999997,0.04,0.111111111,0.0,0.2,0.0,0.1075,0.13,381,-4.216828121,4.520147861,0.958346797
