recipename,labels,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob,Carb_std,Protein_std,VitA_std,VitC_std,Calcium_std,Iron_std,Thiamin_std,Niacin_std,VitB6_std,Magnesium_std,Folate_std,Potassium_std,Dietary Fiber_std,Total Fat_std,Saturated Fat_std,Cholesterol_std,Sodium_std,Sugars_std,Carb_BNI,Protein_BNI,VitA_BNI,VitC_BNI,Calcium_BNI,Iron_BNI,Thiamin_BNI,Niacin_BNI,VitB6_BNI,Magnesium_BNI,Folate_BNI,Potassium_BNI,Dietary Fiber_BNI,Total Fat_BNI,Saturated Fat_BNI,Cholesterol_BNI,Sodium_BNI,Sugars_BNI,BNI
1 dish chicken parmesan,4,16.50000001,5,65.0000001,742.0000008,461.000001,37.5999999,3.1,53.6,9.000000009,902.4,1.99999998,240.5,4.500000009,0,17,1.25,48,142,412,-2.303606897,4.093570924,0.817866317,209.9029121,299.223301,5037.669903,11.16504843,1342.597087,25.12135927,0,94.90291262,6.97815534,267.961165,792.7184466,2573.543695,17.30582524,92.11165054,27.91262136,362.8640782,4142.233014,50.2427185,3.498381868,10,3.148543689,0.930420703,5,4.652103569,0,5,5,3.349514563,4.954490291,3.676490993,3.461165049,0,0,0,0,0,52.67111072
1 dish pepperoni cheese pizza bake,4,15.00000002,6,33.9999999,691.9999992,97.000001,32.1999999,1.3,30.6,2.999999993,443.2,1.99999998,403,2.999999997,0,6,0,19,142,329,-3.592733652,4.548874457,0.811078065,225.1063823,213.9209726,3098.358663,13.98176278,2817.325228,20.97264436,0,41.94528875,0,132.8267477,992.7051672,678.1155085,9.088145897,104.863222,41.94528875,237.6899689,4837.689964,20.97264432,3.751773038,10,1.936474164,1.165146898,5,3.883823029,0,5,0,1.660334347,5,0.968736441,1.817629179,0,0,1.038500518,0,1.671008837,41.85492593
1 pea salad most requested,3,26.79999998,3,8.0000001,283.0000008,280,17.4,6,17.6,5.999999985,3049.6,16.99999998,89.7,2.999999997,0,3,0,73,112,333,-1.992816156,4.149360637,0.987261063,120.1801802,121.5615616,21063.3033,117.4174173,619.5495495,20.7207207,0,20.72072072,0,504.2042042,773.5735736,1933.933934,41.44144144,185.105105,20.72072072,55.25525595,1954.65466,41.44144134,2.003003003,10,5,5,2.382882883,3.8371705,0,5,0,5,4.834834835,2.762762763,5,0,0,4.079079068,0.927802791,0,51.74845677
15 minute herbed chicken,6,8.99999997,2,72.9999999,568.9999992,248.0000005,6.9999999,1.2,53.4,1.999999985,118.4,0,62.4,1.500000012,0,16,0,26,10,225,0.738757843,4.338405309,0.947147168,71.55555453,545.8666667,1210.311111,0,637.8666667,15.33333346,0,163.5555556,0,265.7777778,102.2222222,2535.111116,12.26666667,91.99999969,20.44444444,746.2222212,5816.444436,20.44444429,1.192592576,10,0.756444444,0,2.453333333,2.839506196,0,5,0,3.322222222,0.638888889,3.621587309,2.453333333,0,0,0,0,1.754850113,34.03275842
2 step creamy chicken and pasta,7,11.59999997,3,80.0000001,624,142.0000015,30.5000001,4.3,57.8,4.000000001,22.4,0,14.3,1.500000012,0,11,0,19,4,340,-0.303774097,4.113392847,0.756918724,206.3235301,391,151.5294118,0,96.73529412,10.1470589,0,74.41176471,0,128.5294118,27.05882353,960.5882454,29.08823529,78.47058803,20.29411765,541.1764713,4221.176471,27.05882353,3.438725501,10,0.094705882,0,0.372058824,1.879084982,0,5,0,1.606617647,0.169117647,1.372268922,5,0,0,0,0,0.704948646,29.63752805
2 step skillet chicken broccoli divan,2,15.6,7,90,726,420.999999,12.3,3,60.8,2.999999993,1171.2,61.99999998,235.3,1.500000012,0,12,0,40,100,310,-1.801175399,4.25451789,0.755933075,91.25806452,451.0967742,8689.548387,459.9999999,1745.774194,11.12903235,0,89.03225806,0,296.7741935,741.9354839,3123.54838,22.25806452,115.7419355,51.93548387,667.7419355,5386.451613,22.25806446,1.520967742,10,5,5,5,2.060931916,0,5,0,3.709677419,4.637096774,4.462211971,4.451612903,0,0,0,0,1.466973895,52.30947262
25 minute tunisian vegetable couscous,4,4.899999975,1,0,699,486.9999995,72.0999999,8.8,27.2,5.000000009,3272,52.99999998,109.2,4.500000009,0,6,1.25,68,172,387,-1.854045753,4.324902161,0.999999997,428.5012914,161.6537468,19445.99483,314.98708,648.9922481,26.7441861,0,35.65891473,7.428940568,404.1343669,1022.222222,2894.315243,52.2997416,29.12144688,5.943152455,0,4154.263566,29.71576232,10,10,5,5,2.496124031,4.952627056,0,5,5,5,5,4.134736061,5,2.759888702,3.514211886,5,0,0.283212329,73.14080006
3 cheese eggplant lasagna,4,15.99999999,6,80.0000001,2475,787.0000005,20.7999999,4.5,34.6,5.999999985,10364.8,18,557.7,4.500000009,0,5,0,65,136,285,-7.646672228,4.349537281,0.583931739,167.8596483,279.2280702,83645.75439,145.2631579,4500.736842,36.31578955,0,40.35087719,0,524.5614035,1097.54386,6351.228074,36.31578947,129.1228069,48.42105263,645.6140359,19973.68421,48.42105251,2.797660805,10,5,5,5,5,0,5,0,5,5,5,5,0,0,0,0,0,57.79766081
3 ingredient pulled pork barbeque,9,16.39999998,6,105.9999999,922.0000008,529.9999985,23.9000001,0.5,64.4,16,244.8,1.00000002,54.6,2.999999997,1.133333334,12,1.25,32,6,382,-2.593219361,4.218459291,0.889193402,143.9005242,387.7486911,1473.926702,6.020942529,328.7434555,18.06282721,6.823734733,72.2513089,7.52617801,192.6701571,36.12565445,3191.099467,3.010471204,98.74345538,36.12565445,638.2198947,5551.308905,96.33507855,2.398342069,10,0.921204188,0.501745211,1.264397906,3.344968001,5,5,5,2.408376963,0.22578534,4.558713525,0.602094241,0,0,0,0,0,41.22562745
30 minute irish skillet,4,19.3,6,51.9999999,714,336,24.6,4.1,33.6,4.000000001,99.2,22.99999998,46.8,2.999999997,0,6,0,22,68,342,-3.420729312,4.383193222,0.847667,165.4385965,225.9649123,667.1345029,154.6783624,314.7368421,20.17543858,0,40.35087719,0,147.9532164,457.3099415,2259.649123,27.57309942,129.7953217,40.35087719,349.7076017,4801.754386,26.9005848,2.757309942,10,0.416959064,5,1.210526316,3.736192329,0,5,0,1.849415205,2.858187135,3.228070175,5,0,0,0,0,0.730065905,41.78672607
