recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob
broccoli hamburger casserole,0.7076923079999999,1.2,0.5066666670000001,0.417916667,0.226857143,0.054666667,0.18,0.7959999999999999,0.126984127,0.672,1.116666667,0.586,0.222222222,0.0,0.7,0.0,0.165,0.2725,630,-10.45644736,4.350694567,0.9992660309999999
tasty meat pie,0.335384615,0.35,0.11,0.24958333300000002,0.12114285699999999,0.10233333300000001,0.14400000000000002,0.22,0.095238095,0.8076,0.2,0.028999999999999998,0.111111111,0.0,0.3,0.0,0.0675,0.1,360,-4.508981455,4.054983183,0.871310131
tuna broccoli roll up casserole,0.315384615,0.4,0.12,0.345416667,0.120285714,0.133,0.128,0.46399999999999997,0.126984127,0.2906,0.483333333,0.24100000000000002,0.166666667,0.0,0.6,0.0,0.115,0.25,440,-4.266056661,3.946133259,0.940448673
broccoli rice cheese and chicken casserole,0.47384615399999996,0.75,0.36666666700000006,0.6841666670000001,0.138571429,0.275666667,0.12,0.72,0.253968254,0.4004,0.566666667,0.41600000000000004,0.38888888899999996,0.0,0.7,0.0,0.11,0.4275,756,-9.949943752000001,4.493526736000001,0.928232438
curried chicken and broccoli casserole,0.94,0.75,0.513333333,0.510833333,0.160285714,0.092,0.08,0.914,0.126984127,0.247,0.8666666670000001,0.209,0.444444444,0.0,1.1,0.5,0.1625,0.24,841,-7.822528693,4.068543172,0.997185042
broccoli beef wellington,0.7584615379999999,0.9,0.48666666700000005,0.5475,0.138,0.170666667,0.092,0.7659999999999999,0.317460317,0.3404,0.6333333329999999,0.311,0.333333333,0.0,0.55,0.0,0.1,0.1625,817,-10.39035679,4.08739169,0.982553798
broccoli turkey bake,0.18153846199999998,0.35,0.176666667,0.075,0.06428571400000001,0.079,0.06,0.34,0.031746032,0.2016,0.333333333,0.14,0.111111111,0.0,0.35,0.0,0.075,0.1825,271,-2.101107008,3.9814803039999997,0.8860982959999999
polish meat and potatoes,0.690769231,0.65,0.25,0.555416667,0.397142857,0.15433333300000002,0.248,0.382,0.19047619,0.045,1.533333333,0.059000000000000004,0.166666667,0.0,0.5,0.5,0.1825,0.1175,660,-9.705618933,4.333392664,0.999892441
easy chicken and broccoli,0.255384615,0.4,0.316666667,0.3075,0.142,0.135666667,0.168,0.736,0.095238095,0.4908,1.1,0.095,0.27777777800000003,0.0,1.0,0.5,0.13,0.4525,462,-2.333010871,4.277847467,0.8934089740000001
white wine broccoli casserole,0.930769231,0.95,0.46,0.53375,0.168571429,0.073666667,0.132,0.82,0.126984127,0.2576,1.05,0.491,0.222222222,0.0,0.95,0.5,0.175,0.1975,826,-9.872417121,4.141280074,0.998338352
